n	name	score	cards	games	flags	short	alt1
799	Guzzlord	2.21	2	1	long	A dangerous Ultra Beast, it appears to be eating constantly, but for some reason its droppings have never been found.	An unknown life-form called a UB. It may be constantly hungry—it is certainly always devouring something.
800	Necrozma	4.56	2	1		It looks somehow pained as it rages around in search of light, which serves as its energy.	Light is apparently the source of its energy.
801	Magearna	5.56	2	1		Built roughly 500 years ago by a scientist, the part called the Soul-Heart is the actual life-form.	Magearna, with its metallic body, is an artificial Pokémon created 500 years ago by humans.
802	Marshadow	4.56	2	1		It slips into the shadows of others and mimics their powers and movements.	Able to conceal itself in shadows, it never appears before humans, so its very existence was the stuff of myth.
803	Poipole	6.6	4	1	deictic	This Ultra Beast is well enough liked to be chosen as a first partner in its own world.	An Ultra Beast that lives in a different world, it cackles wildly as it sprays its opponents with poison from the needles on its head.
804	Naganadel	3.1	1	1		It stores hundreds of liters of poisonous liquid inside its body.	One kind of Ultra Beast, it fires a glowing, venomous liquid from its needles.
805	Stakataka	3.6	3	1	override	It appeared from an Ultra Wormhole. Each one appears to be made up of many life-forms stacked one on top of each other.	When stone walls started moving and attacking, the brute’s true identity was this mysterious life-form, which brings to mind an Ultra Beast.
806	Blacephalon	3.6	3	1	override	It slithers toward people. Then, without warning, it triggers the explosion of its own head.	A UB that appeared from an Ultra Wormhole, it causes explosions, then takes advantage of opponents’ surprise to rob them of their vitality.
807	Zeraora	6.6	3	1		It approaches its enemies at the speed of lightning, then tears them limb from limb with its sharp claws.	It runs as fast as lightning strikes, shredding its opponents with its high-voltage claws.
808	Meltan	6.6	3	1		It dissolves and eats metal. Circulating liquid metal within its body is how it generates energy.	It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel.
809	Melmetal	4.56	2	1		At the end of its life-span, Melmetal will rust and fall apart.	Revered long ago for its capacity to create iron from nothing, for some reason it has come back to life after 3,000 years.
810	Grookey	5.35	9	1	long	When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.	It attacks with rapid beats of its stick. As it strikes with amazing speed, it gets more and more pumped.
811	Thwackey	8.62	6	1		The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.	When it's drumming out rapid beats in battle, it gets so caught up in the rhythm that it won't even notice that it's already knocked out its opponent.
812	Rillaboom	8.1	7	1		By drumming, it taps into the power of its special tree stump.	The one with the best drumming techniques becomes the boss of the troop.
813	Scorbunny	7.06	5	1		A warm-up of running around gets fire energy coursing through this Pokémon's body.	It has special pads on the backs of its feet, and one on its nose.
814	Raboot	6.6	3	1		It kicks berries right off the branches of trees and then juggles them with its feet, practicing its footwork.	Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.
815	Cinderace	7.06	5	1		It's skilled at both offense and defense, and it gets pumped up when cheered on.	It juggles a pebble with its feet, turning it into a burning soccer ball.
816	Sobble	5.62	6	1	override	When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won't be able to resist weeping.	When it gets wet, its skin changes color, and this Pokémon becomes invisible as if it were camouflaged.
817	Drizzile	6.6	3	1		A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms.	Highly intelligent but also very lazy, it keeps enemies out of its territory by laying traps everywhere.
818	Inteleon	2.7	4	1	long	Its nictitating membranes let it pick out foes' weak points so it can precisely blast them with water that shoots from its fingertips at Mach 3.	It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.
819	Skwovet	5.0	3	0		No matter how much it stuffs its belly with food, it is always anxious about getting hungry again.	It eats berries nonstop—a habit that has made it more resilient than it looks.
820	Greedent	6.4	4	1		It stashes berries in its tail—so many berries that they fall out constantly.	This Pokémon makes off with heaps of fallen berries by wrapping them in its tail, which is roughly twice the length of its body.
821	Rookidee	5.6	3	1		It will bravely challenge any opponent, no matter how powerful.	This Pokémon is brave and reckless. The white markings around a Rookidee's eyes intimidate fainthearted Pokémon.
822	Corvisquire	4.1	1	1		The lessons of many harsh battles have taught it how to accurately judge an opponent's strength.	Smart enough to use tools in battle, these Pokémon have been seen picking up rocks and flinging them or using ropes to wrap up enemies.
823	Corviknight	0.8	3	1	region,deictic	This Pokémon reigns supreme in the skies of the Galar region.	With their great intellect and flying skills, these Pokémon very successfully act as the Galar region's airborne taxi service.
824	Blipbug	7.4	4	1		Often found in gardens, this Pokémon has hairs on its body that it uses to assess its surroundings.	A constant collector of information, this Pokémon is very smart.
825	Dottler	4.81	5	1	long	As it grows inside its shell, it uses its psychic abilities to monitor the outside world and prepare for evolution.	It barely moves, but it's still alive.
826	Orbeetle	3.8	4	1	long	It emits psychic energy to observe and study what's around it—and what's around it can include things over six miles away.	It's famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power.
827	Nickit	8.1	7	1		Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon.	Cunning and cautious, this Pokémon survives by stealing food from others.
828	Thievul	8.52	8	1		It secretly marks potential targets with a scent.	With a lithe body and sharp claws, it goes around stealing food and eggs.
829	Gossifleur	7.62	6	1		It whirls around in the wind while singing a joyous song.	It anchors itself in the ground with its single leg, then basks in the sun.
830	Eldegoss	4.62	6	1	region	The cotton on the head of this Pokémon can be spun into a glossy, gorgeous yarn—a Galar regional specialty.	The seeds attached to its cotton fluff are full of nutrients.
831	Wooloo	6.4	4	1		If its fleece grows too long, Wooloo won't be able to move.	Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed.
832	Dubwool	5.6	3	1		Its majestic horns are meant only to impress the opposite gender.	Weave a carpet from its springy wool, and you end up with something closer to a trampoline.
833	Chewtle	4.1	1	1		Apparently the itch of its teething impels it to snap its jaws at anything in front of it.	It starts off battles by attacking with its rock-hard horn, but as soon as the opponent flinches, this Pokémon bites down and never lets go.
834	Drednaw	4.06	5	1	long,deictic	This Pokémon rapidly extends its retractable neck to sink its sharp fangs into distant enemies and take them down.	With jaws that can shear through steel rods, this highly aggressive Pokémon chomps down on its unfortunate prey.
835	Yamper	4.8	3	1	deictic	This gluttonous Pokémon only assists people with their work because it wants treats.	This Pokémon is very popular as a herding dog in the Galar region.
836	Boltund	5.6	4	1	deictic	This Pokémon generates electricity and channels it into its legs to keep them going strong.	It sends electricity through its legs to boost their strength.
837	Rolycoly	5.6	3	1		Most of its body has the same composition as coal.	It can race around like a unicycle, even on rough, rocky terrain.
838	Carkol	3.1	1	1		By rapidly rolling its legs, it can travel at over 18 mph.	It forms coal inside its body.
839	Coalossal	7.06	5	1		It's usually peaceful, but the vandalism of mines enrages it.	It’s gentle usually but fearsome when angered.
840	Applin	5.6	3	1		It spends its entire life inside an apple.	As soon as it's born, it burrows into an apple.
841	Flapple	6.4	4	1		It ate a sour apple, and that induced its evolution.	It flies on wings of apple skin and spits a powerful acid.
842	Appletun	4.56	2	1		Eating a sweet apple caused its evolution.	Its body is covered in sweet nectar, and the skin on its back is especially yummy.
843	Silicobra	6.6	3	1		It spews sand from its nostrils. While the enemy is blinded, it burrows into the ground to hide.	As it digs, it swallows sand and stores it in its neck pouch.
844	Sandaconda	6.6	3	1		Its unique style of coiling allows it to blast sand out of its sand sac more efficiently.	When it contracts its body, over 220 pounds of sand sprays from its nose.
845	Cramorant	3.96	2	0		It's an incredibly poor learner because it uses the bare minimum amount of energy for its brain.	It's so strong that it can knock out some opponents in a single hit, but it also may forget what it's battling midfight.
846	Arrokuda	3.2	4	1	long	If it sees any movement around it, this Pokémon charges for it straightaway, leading with its sharply pointed jaw.	After it's eaten its fill, its movements become extremely sluggish.
847	Barraskewda	4.8	3	1	deictic	This Pokémon has a jaw that's as sharp as a spear and as strong as steel.	It spins its tail fins to propel itself, surging forward at speeds of over 100 knots before ramming prey and spearing into them.
848	Toxel	5.6	3	1		It manipulates the chemical makeup of its poison to produce electricity.	It stores poison in an internal poison sac and secretes that poison through its skin.
849	Toxtricity	3.5	1	0		Capable of generating 15,000 volts of electricity, this Pokémon looks down on all that would challenge it.	This short-tempered and aggressive Pokémon chugs stagnant water to absorb any toxins it might contain.
850	Sizzlipede	7.62	6	1		It stores flammable gas in its body and uses it to generate heat.	It wraps prey up with its heated body, cooking them in its coils.
851	Centiskorch	7.62	6	1		When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit.	While its burning body is already dangerous on its own, this excessively hostile Pokémon also has large and very sharp fangs.
852	Clobbopus	6.4	4	1		It's very curious, but its means of investigating things is to try to punch them with its tentacles.	Its tentacles tear off easily, but it isn't alarmed when that happens—it knows they'll grow back.
853	Grapploct	5.6	3	1		Searching for an opponent to test its skills against, it emerges onto land.	A body made up of nothing but muscle makes the grappling moves this Pokémon performs with its tentacles tremendously powerful.
854	Sinistea	5.8	3	1	deictic	This Pokémon is said to have been born when a lonely spirit possessed a cold, leftover cup of tea.	The soul of someone who died alone possessed some leftover tea.
855	Polteageist	3.4	4	1	long,deictic	This species lives in antique teapots. Most pots are forgeries, but on rare occasions, an authentic work is found.	The tea that composes Polteageist's body has a distinct and enjoyable flavor.
856	Hatenna	6.4	4	1		Via the protrusion on its head, it senses other creatures' emotions.	If this Pokémon senses a strong emotion, it will run away as fast as it can.
857	Hattrem	6.6	3	1		No matter who you are, if you bring strong emotions near this Pokémon, it will silence you violently.	Using the braids on its head, it pummels foes to get them to quiet down.
858	Hatterene	6.6	3	1		It emits psychic power strong enough to cause headaches as a deterrent to the approach of others.	If you're too loud around it, you risk being torn apart by the claws on its tentacle.
859	Impidimp	5.6	3	1		Through its nose, it sucks in the emanations produced by people and Pokémon when they feel annoyed.	It sneaks into people's homes, stealing things and feasting on the negative energy of the frustrated occupants.
860	Morgrem	3.1	1	1		With sly cunning, it tries to lure people into the woods.	When it gets down on all fours as if to beg for forgiveness, it's trying to lure opponents in so that it can stab them with its spear-like hair.
861	Grimmsnarl	4.6	3	1	names:Machamp	With the hair wrapped around its body helping to enhance its muscles, this Pokémon can overwhelm even Machamp.	Its hairs work like muscle fibers.
862	Obstagoon	0.6	0	1		It evolved after experiencing numerous fights.	Its voice is staggering in volume.
863	Perrserker	1.6	0	1		After many battles, it evolved dangerous claws that come together to form daggers when extended.	What appears to be an iron helmet is actually hardened hair.
864	Cursola	0.6	0	1		Its shell is overflowing with its heightened otherworldly energy.	Be cautious of the ectoplasmic body surrounding its soul.
865	Sirfetch’d	0.6	0	1		After deflecting attacks with its hard leaf shield, it strikes back with its sharp leek stalk.	Only Farfetch’d that have survived many battles can attain this evolution.
866	Mr. Rime	1.6	0	1		It’s highly skilled at tap-dancing. It waves its cane of ice in time with its graceful movements.	Its amusing movements make it very popular. It releases its psychic power from the pattern on its belly.
867	Runerigus	1.6	0	1		Never touch its shadowlike body, or you’ll be shown the horrific memories behind the picture carved into it.	A powerful curse was woven into an ancient painting.
868	Milcery	4.8	3	1	deictic	This Pokémon was born from sweet-smelling particles in the air.	They say that any patisserie visited by Milcery is guaranteed success and good fortune.
869	Alcremie	7.4	4	1		When it trusts a Trainer, it will treat them to berries it's decorated with cream.	When Alcremie is content, the cream it secretes from its hands becomes sweeter and richer.
870	Falinks	6.4	4	1		The six of them work together as one Pokémon.	Five of them are troopers, and one is the brass.
871	Pincurchin	7.06	5	1		It feeds on seaweed, using its teeth to scrape it off rocks.	This Pokémon generates electricity when it digests food.
872	Snom	4.56	2	1		It eats snow that piles up on the ground.	It eats snow that has accumulated on the ground.
873	Frosmoth	8.1	7	1		It shows no mercy to any who desecrate fields and mountains.	Frosmoth senses air currents with its antennae.
874	Stonjourner	7.06	5	1		It stands in grasslands, watching the sun's descent from zenith to horizon.	Once a year, on a specific date and at a specific time, they gather out of nowhere and form up in a circle.
875	Eiscue	4.96	2	0		On hot days, these Pokémon press their ice cube heads together and pass the time cooling each other down.	It drifted in on the flow of ocean waters from a frigid place.
876	Indeedee	5.2	3	0	deictic	These intelligent Pokémon touch horns with each other to share information between them.	It uses the horns on its head to sense the emotions of others.
877	Morpeko	6.8	4	0		Hunger hormones affect its temperament. Until its hunger is appeased, it gets up to all manner of evil deeds.	As it eats the seeds stored up in its pocket-like pouches, this Pokémon is not just satisfying its constant hunger.
878	Cufant	4.56	2	1		If a job requires serious strength, this Pokémon will excel at it.	It digs up the ground with its trunk.
879	Copperajah	3.76	2	1	deictic	They came over from another region long ago and worked together with humans.	These Pokémon live in herds.
880	Dracozolt	0.61	2	1	long	In ancient times, it was unbeatable thanks to its powerful lower body, but it went extinct anyway after it depleted all its plant-based food sources.	The powerful muscles in its tail generate its electricity.
881	Arctozolt	5.6	3	1		The shaking of its freezing upper half is what generates its electricity.	This Pokémon lived on prehistoric seashores and was able to preserve food with the ice on its body.
882	Dracovish	4.56	2	1		Powerful legs and jaws made it the apex predator of its time.	Its mighty legs are capable of running at speeds exceeding 40 mph, but this Pokémon can’t breathe unless it’s underwater.
883	Arctovish	1.6	0	1		The skin on its face is impervious to attack, but breathing difficulties made this Pokémon go extinct anyway.	Though it's able to capture prey by freezing its surroundings, it has trouble eating the prey afterward because its mouth is on top of its head.
884	Duraludon	7.06	5	1		Its body resembles polished metal, and it's both lightweight and strong.	Duraludon's body is comprised of a special metal that's lightweight and scratch resistant.
885	Dreepy	3.1	1	1		If this weak Pokémon is by itself, a mere child could defeat it.	It has a habit of biting at Clauncher even though it doesn't feed on them.
886	Drakloak	5.6	3	1		It's capable of flying faster than 120 mph.	This Pokémon stores up energy in its lungs, then shoots it out.
887	Dragapult	3.6	3	1	names:Dreepy	When it isn't battling, it keeps Dreepy in the holes on its horns.	Apparently the Dreepy inside Dragapult's horns eagerly look forward to being launched out at Mach speeds.
888	Zacian	3.2	4	0	long	Now armed with a weapon it used in ancient times, this Pokémon needs only a single strike to fell even Gigantamax Pokémon.	Able to cut down anything with a single strike, it became known as the Fairy King's Sword, and it inspired awe in friend and foe alike.
889	Zamazenta	5.8	4	0		Its ability to deflect any attack led to it being known as the Fighting Master's Shield.	In times past, it worked together with a king of the people to save the Galar region.
890	Eternatus	0.6	0	1		It was inside a meteorite that fell 20,000 years ago.	The core on its chest absorbs energy emanating from the lands of the Galar region.
891	Kubfu	0.3	1	1	long	If Kubfu pulls the long white hair on its head, its fighting spirit heightens and power wells up from the depths of its belly.	Kubfu trains hard to perfect its moves. The moves it masters will determine which form it takes when it evolves.
892	Urshifu	-2.25	0	1	long	Inhabiting the mountains of a distant region, this Pokémon races across sheer cliffs, training its legs and refining its moves.	This form of Urshifu is a strong believer in the one-hit KO.
893	Zarude	5.6	3	1		Once the vines on Zarude's body tear off, they become nutrients in the soil.	Within dense forests, this Pokémon lives in a pack with others of its kind.
894	Regieleki	3.1	1	1		Its entire body is made up of a single organ that generates electrical energy.	This Pokémon is a cluster of electrical energy.
895	Regidrago	3.1	1	1		Its body is composed of crystallized dragon energy.	An academic theory proposes that Regidrago's arms were once the head of an ancient dragon Pokémon.
896	Glastrier	4.56	2	1		Glastrier emits intense cold from its hooves.	Glastrier has tremendous physical strength, and the mask of ice covering its face is 100 times harder than diamond.
897	Spectrier	4.56	2	1		It probes its surroundings with all its senses save one—it doesn't use its sense of sight.	As it dashes through the night, Spectrier absorbs the life-force of sleeping creatures.
898	Calyrex	3.1	1	1		Calyrex is a merciful Pokémon, capable of providing healing and blessings.	Calyrex is known in legend as a king that ruled over Galar in ancient times.
899	Wyrdeer	5.6	3	1		The black orbs shine with an uncanny light when the Pokémon is erecting invisible barriers.	
900	Kleavor	5.6	3	1		A violent creature that fells towering trees with its crude axes and shields itself with hard stone.	
901	Ursaluna	-3.75	1	1	long,region	I believe it was Hisui's swampy terrain that gave Ursaluna its burly physique and newfound capacity to manipulate peat at will.	
902	Basculegion	0.6	0	1		Clads itself in the souls of comrades that perished before fulfilling their goals of journeying upstream.	
903	Sneasler	-3.5	0	1	long	Because of Sneasler's virulent poison and daunting physical prowess, no other species could hope to best it on the frozen highlands.	
904	Overqwil	-2.05	0	1	long	Its lancelike spikes and savage temperament have earned it the nickname “sea fiend.” It slurps up poison to nourish itself.	
905	Enamorus	1.6	3	1	region	When it flies to this land from across the sea, the bitter winter comes to an end.	
906	Sprigatito	7.62	6	1		Its fluffy fur is similar in composition to plants.	The sweet scent its body gives off mesmerizes those around it.
907	Floragato	4.25	4	1	long	Floragato deftly wields the vine hidden beneath its long fur, slamming the hard flower bud against its opponents.	The hardness of Floragato’s fur depends on the Pokémon’s mood.
908	Meowscarada	0.6	0	1		With skillful misdirection, it rigs foes with pollen-packed flower bombs.	This Pokémon uses the reflective fur lining its cape to camouflage the stem of its flower, creating the illusion that the flower is floating.
909	Fuecoco	8.62	6	1		It lies on warm rocks and uses the heat absorbed by its square-shaped scales to create fire energy.	Its flame sac is small, so energy is always leaking out.
910	Crocalor	3.25	4	1	long	The combination of Crocalor's fire energy and overflowing vitality has caused an egg-shaped fireball to appear on the Pokémon's head.	The valve in Crocalor's flame sac is closely connected to its vocal cords.
911	Skeledirge	3.1	1	1		Skeledirge's gentle singing soothes the souls of all that hear it.	The fiery bird changes shape when Skeledirge sings.
912	Quaxly	2.82	6	1	region,deictic	This Pokémon migrated to Paldea from distant lands long ago.	Its strong legs let it easily swim around in even fast-flowing rivers.
913	Quaxwell	1.85	4	1	long,deictic	These Pokémon constantly run through shallow waters to train their legs, then compete with each other to see which of them kicks most gracefully.	The hardworking Quaxwell observes people and Pokémon from various regions and incorporates their movements into its own dance routines.
914	Quaquaval	4.56	2	1		A single kick from a Quaquaval can send a truck rolling.	Dancing in ways that evoke far-away places, this Pokémon mesmerizes all that see it.
915	Lechonk	6.9	9	1	override	It searches for food all day. It possesses a keen sense of smell but doesn't use it for anything other than foraging.	This Pokémon spurns all but the finest of foods.
916	Oinkologne	5.6	3	1		Oinkologne is proud of its fine, glossy skin.	This Pokémon sends a flowerlike scent wafting about.
917	Tarountula	5.6	3	1		The thread it secretes from its rear is as strong as wire.	The ball of threads wrapped around its body is elastic enough to deflect the scythes of Scyther, this Pokémon's natural enemy.
918	Spidops	5.6	3	1		It clings to branches and ceilings using its threads and moves without a sound.	The thread it secretes from its rear is as strong as wire.
919	Nymble	5.62	6	1	override	It has its third set of legs folded up. When it's in a tough spot, this Pokémon jumps over 30 feet using the strength of its legs.	It’s highly skilled at a fighting style in which it uses its jumping capabilities to dodge incoming attacks while also dealing damage to opponents.
920	Lokix	5.6	3	1		When it decides to fight all out, it stands on its previously folded legs to enter Showdown Mode.	It uses its normally folded third set of legs when in Showdown Mode.
921	Pawmi	6.4	4	1		The pads of its paws are electricity-discharging organs.	It has underdeveloped electric sacs on its cheeks.
922	Pawmo	0.96	2	1	override	When its group is attacked, Pawmo is the first to leap into battle, defeating enemies with a fighting technique that utilizes electric shocks.	Pawmo uses a unique fighting technique in which it uses its forepaws to strike foes and zap them with electricity from its paw pads simultaneously.
923	Pawmot	5.56	2	1		Pawmot's fluffy fur acts as a battery. It can store the same amount of electricity as an electric car.	This Pokémon normally is slow to react, but once it enters battle, it will strike down its enemies with lightning-fast movements.
924	Tandemaus	4.3	4	1	long	The pair sticks together no matter what. They split any food they find exactly in half and then eat it together.	Exhibiting great teamwork, they use their incisors to cut pieces out of any material that might be useful for a nest, then make off with them.
925	Maushold	5.6	3	1		The larger pair protects the little ones during battles.	They build huge nests with many rooms that are used for different purposes, such as eating and sleeping.
926	Fidough	5.6	4	1	deictic	This Pokémon is smooth and moist to the touch.	The yeast in Fidough’s breath is useful for cooking, so this Pokémon has been protected by people since long ago.
927	Dachsbun	2.75	3	1	long	The pleasant aroma that emanates from this Pokémon's body helps wheat grow, so Dachsbun has been treasured by farming villages.	The surface of this Pokémon’s skin hardens when exposed to intense heat, and its body has an appetizing aroma.
928	Smoliv	7.06	5	1		It protects itself from enemies by emitting oil from the fruit on its head.	This Pokémon converts nutrients into oil, which it stores in the fruit on its head.
929	Dolliv	6.4	4	1		Dolliv shares its tasty, fresh-scented oil with others.	It basks in the sun to its heart’s content until the fruits on its head ripen.
930	Arboliva	5.8	3	1	deictic	This calm Pokémon is very compassionate. It will share its delicious, nutrient-rich oil with weakened Pokémon.	This Pokémon drives back enemies by launching its rich, aromatic oil at them with enough force to smash a boulder.
931	Squawkabilly	3.1	1	1	override	These Pokémon prefer to live in cities. They form flocks based on the color of their feathers, and they fight over territory.	These Pokémon prefer to live in cities.
932	Nacli	7.62	6	1		It was born in a layer of rock salt deep under the earth.	The ground scrapes its body as it travels, causing it to leave salt behind.
933	Naclstack	4.8	3	1	deictic	This Pokémon dry cures its prey by spraying salt over them.	It compresses rock salt inside its body and shoots out hardened salt pellets with enough force to perforate an iron sheet.
934	Garganacl	6.4	4	1		Garganacl will rub its fingertips together and sprinkle injured Pokémon with salt.	Many Pokémon gather around Garganacl, hoping to lick at its mineral-rich salt.
935	Charcadet	9.25	10	1		Burnt charcoal came to life and became a Pokémon.	Its firepower increases when it fights, reaching over 1,800 degrees Fahrenheit.
936	Armarouge	7.06	5	1		Armarouge evolved through the use of a set of armor that belonged to a distinguished warrior.	This Pokémon clads itself in armor that has been fortified by psychic and fire energy, and it shoots blazing fireballs.
937	Ceruledge	3.25	4	1	long	The fiery blades on its arms burn fiercely with the lingering resentment of a sword wielder who fell before accomplishing their goal.	An old set of armor steeped in grudges caused this Pokémon’s evolution.
938	Tadbulb	7.62	6	1		Tadbulb shakes its tail to generate electricity.	It floats using the electricity stored in its body.
939	Bellibolt	3.2	4	1	long	When this Pokémon expands and contracts its wobbly body, the belly-button dynamo in its stomach produces a huge amount of electricity.	What appear to be eyeballs are actually organs for discharging the electricity generated by Bellibolt's belly-button dynamo.
940	Wattrel	8.1	7	1		When its wings catch the wind, the bones within produce electricity.	These Pokémon make their nests on coastal cliffs.
941	Kilowattrel	6.4	4	1		Kilowattrel inflates its throat sac to amplify its electricity.	It uses its throat sac to store electricity generated by its wings.
942	Maschiff	2.7	3	1	long	Its well-developed jaw and fangs are strong enough to crunch through boulders, and its thick fat makes for an excellent defense.	It always scowls in an attempt to make opponents take it seriously, but even crying children will burst into laughter when they see Maschiff's face.
943	Mabosstiff	5.06	5	1	short	Mabosstiff loves playing with children.	This Pokémon can store energy in its large dewlap.
944	Shroodle	2.4	4	1	long	Though usually a mellow Pokémon, it will sink its sharp, poison-soaked front teeth into any that anger it, causing paralysis in the object of its ire.	To keep enemies away from its territory, it paints markings around its nest using a poisonous liquid that has an acrid odor.
945	Grafaiai	5.6	3	1		The color of the poisonous saliva depends on what the Pokémon eats.	Each Grafaiai paints its own individual pattern, and it will paint that same pattern over and over again throughout its life.
946	Bramblin	3.25	4	1	long	A soul unable to move on to the afterlife was blown around by the wind until it got tangled up with dried grass and became a Pokémon.	Not even Bramblin knows where it is headed as it tumbles across the wilderness, blown by the wind.
947	Brambleghast	4.56	2	1		It will open the branches of its head to envelop its prey.	Brambleghast wanders around arid regions.
948	Toedscool	6.1	7	1	names:Tentacool	Though it looks like Tentacool, Toedscool is a completely different species.	Toedscool lives in muggy forests. The flaps that fall from its body are chewy and very delicious.
949	Toedscruel	5.6	3	1		It coils its 10 tentacles around prey and sucks out their nutrients, causing the prey pain.	These Pokémon gather into groups and form colonies deep within forests.
950	Klawf	5.6	3	1		Klawf hangs upside-down from cliffs, waiting for prey.	This Pokémon lives on sheer cliffs.
951	Capsakid	2.7	3	1	long	Traditional Paldean dishes can be extremely spicy because they include the shed front teeth of Capsakid among their ingredients.	The more sunlight this Pokémon bathes in, the more spicy chemicals are produced by its body, and thus the spicier its moves become.
952	Scovillain	4.56	2	1		The green head has turned vicious due to the spicy chemicals stimulating its brain.	The red head converts spicy chemicals into fire energy and blasts the surrounding area with a super spicy stream of flame.
953	Rellor	4.8	3	1	deictic	This Pokémon creates a mud ball by mixing sand and dirt with psychic energy.	It rolls its mud ball around while the energy it needs for evolution matures.
954	Rabsca	5.6	3	1	override	An infant sleeps inside the ball. Rabsca rolls the ball soothingly with its legs to ensure the infant sleeps comfortably.	An infant sleeps inside the ball.
955	Flittle	4.56	2	1		It spends its time running around wastelands.	Flittle's toes levitate about half an inch above the ground because of the psychic power emitted from the frills on the Pokémon's belly.
956	Espathra	4.56	2	1		It immobilizes opponents by bathing them in psychic power from its large eyes.	It emits psychic power from the gaps between its multicolored frills and sprints at speeds greater than 120 mph.
957	Tinkatink	5.47	6	1	long	It swings its handmade hammer around to protect itself, but the hammer is often stolen by Pokémon that eat metal.	This Pokémon pounds iron scraps together to make a hammer.
958	Tinkatuff	2.3	1	1	deictic	These Pokémon make their homes in piles of scrap metal.	This Pokémon will attack groups of Pawniard and Bisharp, gathering metal from them in order to create a large and sturdy hammer.
959	Tinkaton	5.6	4	1	deictic	This intelligent Pokémon has a very daring disposition.	The hammer tops 220 pounds, yet it gets swung around easily by Tinkaton as it steals whatever it pleases and carries its plunder back home.
960	Wiglett	6.72	8	1	names:Veluza,deictic	This Pokémon can pick up the scent of a Veluza just over 65 feet away and will hide itself in the sand.	Though it looks like Diglett, Wiglett is an entirely different species.
961	Wugtrio	7.06	5	1		It has a vicious temperament, contrary to what its appearance may suggest.	A variety of fish Pokémon, Wugtrio was once considered to be a regional form of Dugtrio.
962	Bombirdier	5.6	3	1		Bombirdier uses the apron on its chest to bundle up food, which it carries back to its nest.	It gathers things up in an apron made from shed feathers added to the Pokémon's chest feathers, then drops those things from high places for fun.
963	Finizen	6.4	4	1		It likes playing with others of its kind using the water ring on its tail.	Its water ring is made from seawater mixed with a sticky fluid that Finizen secretes from its blowhole.
964	Palafin	6.22	6	0	override	This hero of the ocean swims at a speed of 50 knots and saves drowning people and Pokémon.	This hero of the ocean swims at a speed of 50 knots and saves drowning people and Pokémon.
965	Varoom	5.17	8	1	long	It is said that this Pokémon was born when an unknown poison Pokémon entered and inspirited an engine left at a scrap-processing factory.	The steel section is Varoom's actual body.
966	Revavroom	7.06	5	1		It creates a gas out of poison and minerals from rocks.	Revavroom viciously threatens others with the sound of its exhaust.
967	Cyclizar	7.62	6	1		Apparently Cyclizar has been allowing people to ride on its back since ancient times.	It can sprint at over 70 mph while carrying a human.
968	Orthworm	3.05	3	1	long	When attacked, this Pokémon will wield the tendrils on its body like fists and pelt the opponent with a storm of punches.	This Pokémon lives in arid deserts. It maintains its metal body by consuming iron from the soil.
969	Glimmet	8.06	5	1		It absorbs nutrients from cave walls. The petals it wears are made of crystallized poison.	Glimmet's toxic mineral crystals look just like flower petals.
970	Glimmora	4.1	1	1		When this Pokémon detects danger, it will open up its crystalline petals and fire beams from its conical body.	Glimmora's petals are made of crystallized poison energy.
971	Greavard	5.6	4	1	deictic	This friendly Pokémon doesn't like being alone.	It is said that a dog Pokémon that died in the wild without ever interacting with a human was reborn as this Pokémon.
972	Houndstone	5.6	3	1		A lovingly mourned Pokémon was reborn as Houndstone.	Houndstone spends most of its time sleeping in graveyards.
973	Flamigo	1.15	3	0	long,deictic	This Pokémon apparently ties the base of its neck into a knot so that the energy stored in its belly does not escape from its beak.	This Pokémon apparently ties the base of its neck into a knot so that energy stored in its belly does not escape from its beak.
974	Cetoddle	4.56	2	1		It lives in frigid regions in pods of five or so individuals.	This species left the ocean and began living on land a very long time ago.
975	Cetitan	3.76	2	1	deictic	This Pokémon wanders around snowy, icy areas.	Ice energy builds up in the horn on its upper jaw, causing the horn to reach cryogenic temperatures that freeze its surroundings.
976	Veluza	6.4	4	1		When Veluza discards unnecessary flesh, its mind becomes honed and its psychic power increases.	Veluza has excellent regenerative capabilities.
977	Dondozo	6.26	5	1	deictic	This Pokémon is a glutton, but it's bad at getting food.	It treats Tatsugiri like its boss and follows it loyally.
978	Tatsugiri	4.25	4	1	long	Tatsugiri is an extremely cunning Pokémon. It feigns weakness to lure in prey, then orders its partner to attack.	This is a small dragon Pokémon. It lives inside the mouth of Dondozo to protect itself from enemies on the outside.
